project,lines_of_code
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\nhtlongcs,2293
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\nickhuang1996,1481
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\nii-yamagishilab,40817
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Nikii1118,4202
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\nikogamulin,4035
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\nirvanacafe,160456
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\NLESC-JCER,12856
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\noopurdhawan,117375
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\norbonorbo,26533
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\north-fern,1929
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\nuri428,11617
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\NVIDIA,578816
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\oblivia-simplex,30332
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\OCR-D,1720
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ocropus,18044
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Octavian-ai,7133
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ofnote,2753
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ohsu-comp-bio,20668
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\olivyou2,133
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\ombg,2277
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\OmdenaAI,958124
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\onehahaha756,8433
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\onucharles,10123
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\openai,26338
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\opendilab,123563
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\OSeMOSYS,6478
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\OshriHalimi,363578
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\PacktPublishing,730471
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\pacolecc,274
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\padre-lab-eu,32090
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Pamikk,4852
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\panaali,1567
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\PasserBy4,15008
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\PB12203006,62663
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\PenroseZ,3815288
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\phac-nml,5486
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\phamdinhkhanh,93944
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\Piyushak,7591
C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\powergee,106
