library,function,line,file
wandb.init,wandb.init,17,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-finetune.py
wandb.wandb_keras.WandbKerasCallback,WandbKerasCallback,128,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-finetune.py
wandb.init,wandb.init,39,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-generator.py
wandb.wandb_keras.WandbKerasCallback,WandbKerasCallback,82,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-generator.py
wandb.init,wandb.init,17,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-transfer-and-finetune.py
wandb.wandb_keras.WandbKerasCallback,WandbKerasCallback,127,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-transfer-and-finetune.py
wandb.init,wandb.init,11,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-transfer-resnet.py
wandb.wandb_keras.WandbKerasCallback,WandbKerasCallback,67,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-transfer-resnet.py
wandb.init,wandb.init,17,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-transfer.py
wandb.wandb_keras.WandbKerasCallback,WandbKerasCallback,114,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\keras-transfer\dogcat-transfer.py
wandb.init,wandb.init,15,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\movie-reviews\simple-scikit-classifier.py
wandb.init,wandb.init,11,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\movie-reviews-lstm\lstm.py
wandb.wandb_keras.WandbKerasCallback,WandbKerasCallback,28,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\movie-reviews-lstm\lstm.py
wandb.init,wandb.init,15,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-embedding.py
wandblog.log,log,44,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-embedding.py
wandb.init,wandb.init,7,C:\Users\fpatr\PycharmProjects\ML-Logging./data/clones\LucasLvbj\ML-Training-Keras\scikit\cross-validation-lemma-tokenizer.py
